School,Pace,3PAr,TRB%,STL%,TOV%,ORB%
Abilene Christian,71.8,.357,48.0,15.1,14.9,29.2
Air Force,63.4,.435,44.6,8.6,19.6,19.6
Akron NCAA,64.3,.419,53.1,9.1,15.4,30.7
Alabama A&M,68.3,.249,48.8,10.1,16.8,28.7
UAB NCAA,70.6,.332,53.2,13.5,13.7,33.9
Alabama State,71.4,.330,48.3,10.5,18.7,29.7
Alabama NCAA,73.3,.480,52.5,9.5,16.7,35.6
Albany (NY),65.8,.323,48.4,10.2,16.4,26.1
Alcorn State,69.0,.291,51.1,10.7,17.3,31.9
American,66.8,.280,48.1,9.7,18.0,21.6
Appalachian State,65.5,.430,50.4,8.5,13.6,27.3
Arizona State,67.9,.372,47.2,9.7,15.2,24.9
Arizona NCAA,72.9,.357,55.2,9.2,15.5,34.5
Little Rock,68.0,.379,47.3,10.0,17.8,24.6
Arkansas-Pine Bluff,69.2,.407,43.9,10.3,16.8,24.7
Arkansas State,69.5,.306,51.5,11.3,17.4,29.8
Arkansas NCAA,72.1,.343,52.5,10.6,15.0,30.8
Army,69.9,.355,51.3,11.1,16.2,30.0
Auburn NCAA,71.4,.399,52.2,12.1,14.2,33.1
Austin Peay,66.1,.443,48.6,9.6,18.0,29.5
Ball State,71.6,.412,49.6,8.4,17.1,27.1
Baylor NCAA,68.5,.377,53.7,12.8,15.3,36.3
Bellarmine,63.8,.409,48.3,8.8,13.3,23.7
Belmont,70.3,.434,49.9,12.8,15.0,24.6
Bethune-Cookman,67.4,.252,48.2,11.7,17.1,28.4
Binghamton,67.3,.356,50.5,8.4,16.3,27.2
Boise State NCAA,65.0,.388,53.9,9.0,16.0,30.6
Boston College,65.5,.324,50.9,10.8,15.4,30.0
Boston University,65.6,.376,53.5,8.7,16.0,31.2
Bowling Green State,74.4,.371,50.3,9.8,14.1,30.7
Bradley,68.1,.397,54.9,9.3,17.1,32.1
Brigham Young,69.2,.372,55.1,7.0,15.9,31.0
Brown,69.7,.393,50.7,9.6,16.4,29.4
Bryant NCAA,73.0,.431,51.8,8.8,16.1,33.1
Bucknell,68.3,.376,47.1,6.6,17.5,21.4
Buffalo,72.5,.381,55.0,9.8,15.3,37.2
